"univID","stl","mds","mdf","maf","lps","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3","lps.sc","ect.sc","tpg.sc","cle.sc","pmx.sc","ds1.sc","ds2.sc","lpt.sc","ds3.sc"
"Fos.K.18.109",64.3,3,8,8,4.29,8.46,10.14,14,20,6,8.68,3.15,2.89,4.82,2.39,2.16,3.69691649686508,6.84732540488042,6.8526447402024,6.88698993534995,2.45473718515369,2.30855325759351,4.05856523099073,1.94714551419128,1.85213709554343
"Fos.K.18.110",49.92,3,7,6,5.18,7.85,8.28,14,19,5,8.13,NA,3.2,4.6,3.09,1.93,5.38658435416105,8.19270875697821,8.9451995780486,8.51911078594015,NA,3.23989967425642,4.73732409996938,3.24580035921853,1.98507995139
"Fos.K.18.111",47.98,3,11,9,5.78,7.94,10.45,14,20,6,8.73,2.84,3.55,4.86,2.43,1.86,6.18997720455628,8.62315960207109,12.1500599588202,9.5550382284523,3.13030446557906,3.73017037931146,5.16541015761661,2.65613840956718,1.96835767495646
"Fos.K.18.114",48.84,3,9,8,4.45,8.07,8.42,14,19,5,8.66,2.72,3.26,3.85,1.74,2.17,4.70321013554986,8.6093626081545,9.47274069005636,9.29519856684163,2.93562406387921,3.36894211829076,4.03452106572041,1.86830742002279,2.26728670359284
"Fos.K.18.131",49.8,3,10,9,5.18,8.95,NA,14,19,6,9.14,3.15,NA,NA,2.65,1.97,5.39621568950143,9.36333594492337,NA,9.60281097313647,3.32224078736204,NA,NA,2.79034874978102,2.02972889865394
"Fos.K.18.134",66.06,3,9,8,6.43,10.85,12.7,14,19,6,10.74,3.93,3.03,4.98,2.47,1.86,5.43110750822918,8.54677983251222,8.16375261020449,8.2723358955901,2.96619025117274,2.35995372149082,4.10417646806437,1.95850360544369,1.56424495680147
"Fos.K.18.136",61.47,3,9,8,5.69,NA,11.15,14,20,5,9.95,3.35,2.93,6,2.39,2.64,5.0699552929066,NA,8.19071814935557,8.29489992298556,2.75351853292295,2.44125600380052,5.23631979845957,2.03714522368546,2.3381399775236
"Fos.K.18.139",56.34,3,10,9,4.95,8.04,10.23,14,20,5,8.69,2.68,2.6,4.65,2.72,1.86,4.70531711324736,7.43098873854712,8.83204897014162,7.97245399211649,2.44228435911802,2.35048076759347,4.34943714265508,2.53038242163823,1.75378470469081
"Fos.K.18.143",67.66,3,9,8,6.18,10.59,14.96,14,19,6,11.52,4.05,2.83,5.01,2.73,1.88,5.12803855790807,8.14386937672319,9.19932819553595,8.64283959446543,2.97134737899283,2.15533785040773,4.05104323150168,2.11327653633972,1.55410678832842
"Fos.K.18.150",58.25,3,10,9,NA,9.9,NA,14,19,6,10.05,3.45,3.16,5.43,2.71,2.23,NA,8.84880547063438,NA,8.88851537707351,3.02227638706184,2.76893567365452,4.94609474860854,2.43809879755695,2.052879181779
