"univID","stl","ips","mds","mdf","maf","lps","ips.prop","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3"
"Fos.K.05.088",74.57,1,1,10,9,0,0.333333333333333,NA,2.75,14,19,5,10.39,4.65,0,0,2.78,1.39
"Fos.K.05.091",59.97,1,1,10,9,0,0.333333333333333,NA,2.62,NA,19,5,NA,NA,0,0,1.73,1.6
"Fos.K.05.162",49.35,1.8,2,8,7,0,0.6,5.35,5.49,14,19,5,NA,2.5,0,4.45,1.7,1.62
"Fos.K.05.009",58.18,1,1,10,9,0,0.333333333333333,9.11,2.31,NA,19,5,NA,3.36,0,0,2.01,1.66
"Fos.K.05.018",56.67,1.2,1,10,9,0,0.4,7.89,4.71,14,19,5,NA,3.25,0,0,2.18,1.99
"Fos.K.05.031",65.43,3,2,9,6,NA,1,9.94,7.82,14,20,NA,9.98,4.1,NA,NA,2.27,2.01
"Fos.K.05.035",51.85,2.2,1,11,10,0,0.733333333333333,8.19,7.6,14,19,6,8.54,2.98,0,0,1.93,1.52
"Fos.K.04.246",49.86,1,0,10,8,0,0.333333333333333,7.79,1.67,15,19,5,8.51,4.64,NA,NA,1.34,NA
"Fos.K.04.242",37.44,1,1,10,9,0,0.333333333333333,5.61,1,14,19,4,4.99,NA,0,0,NA,1.28
"Fos.K.04.243",42.04,1,1,11,8,0,0.333333333333333,5.72,2.16,14,19,5,5.77,2.24,0,0,1.07,1.32
"Fos.K.04.177",54.66,1,1,10,9,0,0.333333333333333,6.81,2.43,14,19,5,NA,NA,0,0,1.33,1.57
"Fos.K.04.212",38.77,1,1,10,9,0,0.333333333333333,5.5,1.14,14,19,6,NA,2.02,0,0,1.06,1.36
"Fos.K.04.144",32.56,1,1,10,9,0,0.333333333333333,4.54,1.55,14,19,5,4.18,NA,0,0,1.05,1.01
"Fos.K.04.225",64.44,1,1,9,8,0,0.333333333333333,7.71,1.81,14,19,NA,7.34,NA,0,0,1.38,1.22
"Fos.K.04.051",75.16,1,2,10,9,0,0.333333333333333,11.04,1.78,14,19,5,11.19,5.3,0,3.46,2.16,1.95
"Fos.K.04.072",35.87,1,1,10,8,0,0.333333333333333,5.31,1.12,14,19,3,6.05,1.6,0,0,NA,1.64
"Fos.K.04.088",40.63,1,1,10,9,0,0.333333333333333,5.75,0.8,14,19,4,5.9,NA,0,0,NA,1.05
"Fos.K.04.273",51.81,1,2,9,8,0,0.333333333333333,7.67,1.78,14,19,5,NA,2.63,0,2.82,1.3,1.51
"Fos.K.04.073",33.02,1,1,10,9,0,0.333333333333333,4.66,1.04,14,19,5,5.53,1.23,0,0,0.97,0.93
"Fos.K.04.129",31.14,1,1,10,9,0,0.333333333333333,5.12,1.41,14,19,5,NA,1.47,0,0,0.74,1.07
"Fos.K.04.158",48.5,1,1,10,8,0,0.333333333333333,6.8,1.65,14,18,4,7.04,2.21,0,0,1.19,0.96
"Fos.K.04.250",38.78,1,1,9,8,0,0.333333333333333,5.27,1.22,14,19,5,NA,1.69,0,0,0.77,1.46
"Fos.K.04.249",NA,0,1,9,9,0,0,4.7,0,14,19,5,NA,1.47,0,0,0.7,1.16
"Fos.K.04.111",41.56,1,1,10,9,0,0.333333333333333,6,1.4,14,19,5,6.5,2.01,0,0,1.12,1.07
"Fos.K.04.237",34.09,1,1,10,9,0,0.333333333333333,4.48,1.2,14,19,5,4.91,1.43,0,0,0.65,1.34
"Fos.K.04.236",41.3,1,1,10,8,0,0.333333333333333,6.3,1.15,14,18,4,NA,1.76,0,0,NA,1.11
"Fos.K.04.182",40.32,1,2,10,9,0,0.333333333333333,5.72,1.74,14,19,5,5.32,1.63,0,3.47,1.41,1.39
"Fos.K.04.235",30.47,1,1,9,8,0,0.333333333333333,4.23,0.87,14,19,5,4.75,1.45,0,0,0.72,1.13
"Fos.K.04.147",38.03,1,1,9,8,0,0.333333333333333,5.22,1.14,14,19,5,5.98,1.76,0,0,0.92,0.84
"Fos.K.04.035",56.92,1,0,10,9,0,0.333333333333333,8.11,2.64,14,19,5,8.61,2.82,NA,NA,0.72,NA
"Fos.K.04.137",50.11,1,NA,9,8,0,0.333333333333333,7.53,1.94,NA,19,5,7.38,2.63,NA,NA,NA,NA
"Fos.K.04.089",42.37,1,0,9,8,0,0.333333333333333,5.68,1.93,14,19,4,6.31,1.69,NA,NA,0.92,NA
"Fos.K.04.041",40.13,1,1,9,8,0,0.333333333333333,5.71,1.7,14,19,4,5.31,1.69,0,0,NA,1
"Fos.K.04.200",51.05,1,1,9,8,0,0.333333333333333,7.91,2.97,14,19,6,NA,2.78,0,0,1.55,1.86
"Fos.K.04.090",43.52,1,2,10,8,0,0.333333333333333,6.69,0.89,15,19,5,7.71,1.8,0,3.75,1.52,1.66
"Fos.K.04.055",38.13,1,1,10,9,0,0.333333333333333,5.96,1.52,14,19,5,6.17,1.52,0,0,1.08,1.45
"Fos.K.04.040",40.59,1,1,9,8,0,0.333333333333333,6.05,1.25,14,19,5,NA,2.29,0,0,0.94,1.17
"Fos.K.04.080",30.95,1,2,9,8,0,0.333333333333333,4.87,1.24,14,19,5,4.84,NA,0,3.12,1.53,1.34
"Fos.K.04.079",25.36,1,1,9,8,0,0.333333333333333,3.76,1.41,13,19,5,NA,0.95,0,0,0.94,1.55
"Fos.K.04.048",38.08,1,1,10,9,0,0.333333333333333,4.57,1.49,14,20,6,4.38,1.77,0,0,1.63,1.03
"Fos.K.04.101",38.71,1,1,10,9,0,0.333333333333333,5.2,1.93,14,21,5,5.53,1.93,0,0,0.58,1.34
"Fos.K.04.102",43.55,0,1,11,10,0,0,6.41,0,15,19,6,7.51,NA,0,0,1.07,1.82
