univID,stl,ips,mds,mdf,maf,lps,ips.prop,ect,tpg,mav,mcv,mpt,cle,pmx,ds1,ds2,lpt,ds3,lps.sc,ect.sc,tpg.sc,cle.sc,pmx.sc,ds1.sc,ds2.sc,lpt.sc,ds3.sc
Fos.K.12.190,50.91,1,1,9,8,0,0.333333333,7.88,2.3,14,18,5,NA,2.88,0,0,0.69,1.5,0,8.340742814,2.437842692,NA,3.091867417,0,0,0.719798211,1.538915297
Fos.K.11.003,69.07,1.2,2,10,9,0,0.4,8.54,5.93,14,19,5,9.52,3.57,0,3.88,2.02,1.71,0,6.772694887,4.67641315,7.487350857,2.672258193,0,3.516697792,1.699925048,1.540312305
Fos.K.11.006,38.62,2.2,2,9,8,0,0.733333333,6.01,3.76,NA,19,6,NA,NA,0,4.12,2.32,1.81,0,8.262339756,5.209228061,NA,NA,0,4.715286467,2.939915563,2.089214189
Fos.K.11.007,48.43,1,2,9,8,0,0.333333333,6.17,2.35,14,20,5,6.18,2.54,0,3.65,1.49,1.5,0,6.846807557,2.614379296,6.883559228,2.892685435,0,3.814692679,1.609973923,1.572047964
Fos.K.11.013,42,1.2,1,9,8,0,0.4,6.97,2.28,14,20,5,NA,NA,0,0,1.39,2.04,0,8.850751946,2.912069893,NA,NA,0,0,1.660376087,2.271918239
Fos.K.11.020,40.94,2.4,1,9,8,0,0.8,6.25,4.89,14,19,5,NA,1.89,0,0,1.47,1.46,0,8.13079416,6.402307027,NA,2.6253456,0,0,1.787827055,1.643806162
Fos.K.11.024,61.97,1,2,9,8,0,0.333333333,10.22,1.56,14,19,5,NA,2.38,0,2.39,1.89,2.04,0,8.981189833,1.366610488,NA,2.025235952,0,2.262577652,1.716756848,1.924581423
Fos.K.11.032,42.36,2.2,1,10,8,0,0.733333333,6.06,5.94,14,20,5,NA,1.94,0,0,1.47,1.53,0,7.633299755,7.524203068,NA,2.588338433,0,0,1.745416812,1.697746801
Fos.K.11.035,57.13,2.4,2,9,8,0,0.8,NA,6.13,NA,19,NA,NA,NA,0,3.24,2.28,1.26,0,NA,5.810504294,NA,NA,0,3.168996852,2.193050448,1.230668005
Fos.K.11.038,46.72,1,1,10,9,0,0.333333333,NA,1.36,14,20,NA,NA,2.27,0,0,NA,1.65,0,NA,1.566650329,NA,2.697420016,0,0,NA,1.75597153
Fos.K.11.042,45.13,3,3,11,8,3.57,1,7,6.6,14,20,5,NA,NA,2.86,4.5,1.45,2.31,4.021058752,8.304337199,7.862361764,NA,NA,3.120937992,4.838127409,1.646571313,2.494937136
